id2,site_id,identifiant
11449,2,tt0078767
11449,1,11449
11465,1,11465
11472,1,11472
11472,2,tt0113986
11474,1,11474
11477,2,tt0255067
11477,1,11477
11479,1,11479
11482,1,11482
11484,1,11484
11495,1,11495
11498,1,11498
11499,1,11499
11499,5,Q691672
11499,2,tt0870111
11507,1,11507
11509,1,11509
11510,1,11510
11519,1,11519
11521,1,11521
11522,1,11522
11524,1,11524
11527,1,11527
11527,5,Q206461
11527,2,tt0082348
11528,1,11528
11530,1,11530
11532,1,11532
11532,2,tt0089087
11533,1,11533
11533,5,Q785555
11533,2,tt0057197
11539,1,11539
11539,2,tt0085454
11541,1,11541
11546,1,11546
11548,2,tt0092494
11548,1,11548
11549,5,Q45386
11549,2,tt0049366
11549,1,11549
11557,1,11557
11561,1,11561
11564,1,11564
11566,1,11566
11573,2,tt0063135
11573,1,11573
11578,1,11578
11578,2,tt0045081
11578,5,Q1135785
11579,2,tt0048002
11579,1,11579
11579,5,Q1133026
11580,1,11580
11580,2,tt0054814
11580,5,Q849301
11583,1,11583
11584,1,11584
11589,1,11589
11591,1,11591
11592,1,11592
11593,1,11593
11595,1,11595
11595,2,tt0099044
11596,1,11596
11607,2,tt0097179
11607,1,11607
11616,1,11616
11620,1,11620
11623,1,11623
11626,1,11626
11626,2,tt0066265
11630,1,11630
11634,2,tt0150662
11634,1,11634
11634,5,Q304394
11644,1,11644
11649,1,11649
11654,1,11654
11657,1,11657
11657,2,tt0065531
11667,1,11667
11673,1,11673
11681,1,11681
11684,1,11684
11684,2,tt0080489
11687,1,11687
11689,1,11689
11690,1,11690
11694,1,11694
11696,1,11696
11709,1,11709
11718,1,11718
11778,1,11778
11780,1,11780
11797,1,11797
11797,2,tt0089175
11811,1,11811
11814,1,11814
11816,1,11816
11824,1,11824
11827,1,11827
11829,1,11829
11829,2,tt0068154
11837,1,11837
11843,1,11843
11843,2,tt0072081
11843,5,Q579480
11850,1,11850
11851,1,11851
11853,1,11853
11856,1,11856
11858,1,11858
11858,2,tt0110971
11859,1,11859
11861,1,11861
11862,1,11862
11863,1,11863
11864,2,tt0089092
11864,1,11864
11873,1,11873
11874,1,11874
11879,1,11879
11890,1,11890
11893,5,Q1137213
11893,1,11893
11893,2,tt0089941
11896,2,tt0094142
11896,1,11896
11899,1,11899
11904,2,tt0090357
11904,1,11904
11913,1,11913
11914,1,11914
11915,1,11915
11932,2,tt0144120
11932,1,11932
11934,1,11934
11943,1,11943
11948,1,11948
11950,2,tt0087032
11950,1,11950
11955,1,11955
11963,1,11963
11966,1,11966
11967,2,tt0096487
11967,1,11967
11969,1,11969
11969,2,tt0108358
11971,1,11971
11972,5,Q1239024
11972,2,tt0043918
11972,1,11972
11974,1,11974
11976,1,11976
11977,1,11977
11979,1,11979
11979,2,tt0238546
11979,5,Q202982
11980,1,11980
11982,1,11982
12088,1,12088
12088,2,tt0106950
12089,1,12089
12097,1,12097
12097,2,tt0366905
12101,5,Q426196
12101,2,tt0070723
12101,1,12101
12102,2,tt0079417
12102,1,12102
12104,1,12104
12106,1,12106
12110,1,12110
12111,2,tt0088167
12111,1,12111
12120,1,12120
12122,1,12122
12127,2,tt0066227
12127,1,12127
12139,1,12139
12139,2,tt0106701
12150,1,12150
12151,1,12151
12151,2,tt0091877
12154,1,12154
12157,1,12157
12158,1,12158
12159,1,12159
12159,2,tt0120889
12159,5,Q839434
12160,1,12160
12185,1,12185
12208,1,12208
12235,1,12235
12236,1,12236
12245,2,tt0488604
12245,1,12245
12262,1,12262
12268,5,Q1133395
12268,1,12268
12268,2,tt0075066
12309,1,12309
12310,1,12310
12395,1,12395
12395,2,tt0105585
12437,1,12437
12437,5,Q755715
12437,2,tt0834001
12444,1,12444
12444,2,tt0926084
12444,5,Q161678
12445,1,12445
12445,2,tt1201607
12445,5,Q232009
12476,1,12476
12500,1,12500
12502,1,12502
12503,1,12503
12506,1,12506
12537,1,12537
12560,1,12560
12579,1,12579
12584,1,12584
12615,1,12615
12623,1,12623
12627,1,12627
12651,1,12651
12663,1,12663
12665,1,12665
12704,1,12704
12705,2,tt0081529
12705,1,12705
12710,1,12710
12715,1,12715
12715,2,tt0091055
12716,1,12716
12716,2,tt0099669
12717,1,12717
12717,2,tt0099266
12721,1,12721
12764,1,12764
12775,1,12775
12778,1,12778
12919,1,12919
13043,2,tt0473829
13043,1,13043
13064,1,13064
13105,1,13105
13154,1,13154
13155,1,13155
13189,1,13189
13192,1,13192
13310,1,13310
13319,1,13319
13319,2,tt0454457
13333,1,13333
13342,1,13342
13346,1,13346
13595,1,13595
13597,1,13597
13597,2,tt0091369
13633,1,13633
13671,1,13671
13681,1,13681
13704,1,13704
13727,1,13727
13727,2,tt0953369
13766,1,13766
13776,1,13776
13783,1,13783
13818,1,13818
13939,1,13939
14029,1,14029
14040,1,14040
14140,1,14140
14207,5,Q1889573
14207,2,tt0412915
14207,1,14207
14208,5,Q1850622
14208,1,14208
14208,2,tt0455596
14257,1,14257
14347,1,14347
14362,1,14362
