film_id,titre,titre_original,annee,sortie,duree,franchise_id,pays
1551,L'Expérience interdite,Flatliners,1990,1990-08-10,115,,{us}
1552,Portrait craché d'une famille modèle,Parenthood,1989,1989-07-31,124,,{us}
1572,Une Journée en enfer,Die Hard: With a Vengeance,1995,1995-05-19,128,1570,{us}
1573,58 minutes pour vivre,Die Hard 2,1990,1990-07-03,123,1570,{us}
1578,Raging Bull,,1980,1980-11-14,130,,{us}
1584,Rock Academy,School of Rock,2003,2003-10-03,108,,"{de,us}"
1587,Gilbert Grape,What's Eating Gilbert Grape,1993,1993-12-17,112,,{us}
1592,Peur primale,Primal Fear,1996,1996-03-06,131,,{us}
1594,Quand l'inspecteur s'emmêle,A Shot in the Dark,1964,1964-06-23,115,937,"{gb,us}"
1598,Les Nerfs à vif,Cape Fear,1991,1991-11-13,128,,{us}
1607,Il était une fois le Bronx,A Bronx Tale,1993,1993-10-01,121,,{us}
1621,Un fauteuil pour deux,Trading Places,1983,1983-11-16,117,,{us}
1632,Mississippi Burning,,1988,1988-12-08,127,,{us}
1634,Sauvez Willy,Free Willy,1993,1993-07-16,108,9328,"{fr,us}"
1637,Speed,,1994,1994-06-09,116,43064,{us}
1639,Speed 2 : Cap sur le danger,Speed 2: Cruise Control,1997,1997-06-13,125,43064,{us}
1642,Traque sur Internet,The Net,1995,1995-07-28,114,328073,{us}
1648,L'Excellente aventure de Bill et Ted,Bill & Ted's Excellent Adventure,1989,1989-02-17,90,91746,{us}
1654,Les Douze salopards,The Dirty Dozen,1967,1967-06-15,145,124492,"{gb,us}"
1662,Les Anges de la nuit,State of Grace,1990,1990-09-14,135,,{us}
1669,À la poursuite d'Octobre Rouge,,,,135,192492,{us}
1687,Les Évadés de la planète des singes,Escape from the Planet of the Apes,1971,1971-05-20,97,1709,{us}
1694,Re-Animator,,1986,1986-03-12,95,98036,{us}
1700,Misery,,1990,1990-11-30,107,,{us}
1705,La Bataille de la planète des singes,Battle for the Planet of the Apes,1973,1973-06-15,86,1709,{us}
1710,Copycat,,1995,1995-10-27,124,,{us}
1713,Jungle Fever,,1991,1991-06-07,132,,{us}
1716,Le Dernier Métro,,1980,1980-09-17,133,,{fr}
1723,Le Prête-nom,The Front,1976,1976-09-17,95,,{us}
1727,Comme un oiseau sur la branche,Bird on a Wire,1990,1990-05-18,106,,{us}
1788,Footloose,,1984,1984-02-17,100,,{us}
1813,L'Associé du diable,The Devil's Advocate,1997,1997-10-17,144,,"{de,us}"
1825,Over the Top - Le bras de fer,Over the Top,1987,1987-04-08,93,,{us}
1829,L'Histoire d'Adèle H.,,1975,1975-10-08,98,,{fr}
1863,Les Fleurs du soleil,I girasoli,1970,1970-03-14,109,,"{fr,it}"
1870,Fantomas se déchaîne,,1965,1965-08-12,94,103001,"{fr,it}"
1871,Fantomas,,1964,1964-04-11,94,103001,"{fr,it}"
1875,Fantomas contre Scotland Yard,,1967,1967-03-16,101,103001,"{fr,it}"
1880,L'Aube rouge,Red Dawn,1984,1984-08-10,114,,{us}
1883,Malcolm X,,1992,1992-11-18,202,,"{jp,us}"
1884,L'Aventure des Ewoks : La Caravane du courage,The Ewok Adventure,1984,1984-11-25,96,133830,{us}
1885,Le moment de vérité,The Karate Kid,1984,1984-09-26,126,8580,{us}
1891,L'Empire contre-attaque,The Empire Strikes Back,1980,1980-05-20,124,10,{us}
1892,Le Retour du Jedi,Return of the Jedi,1983,1983-05-25,133,10,{us}
1923,Twin Peaks: Fire Walk with Me,,1992,1992-06-03,135,,"{fr,us}"
1924,Superman,,1978,1978-12-14,143,8537,"{ch,gb,us}"
1945,Nell,,1994,1994-12-23,112,,{us}
1949,Zodiac,Zodiac,2007,2007-03-02,163,,{us}
1955,Elephant Man,The Elephant Man,1980,1980-10-09,124,,{us}
2005,Sister Act,,1992,1992-05-28,100,103573,{us}
2007,Lorenzo,Lorenzo's Oil,1992,1992-12-30,127,,"{au,us}"
2019,Chasse à l'homme,Hard Target,1993,1993-04-27,96,412680,{us}
2038,Aces: Iron Eagle III,,1992,1992-07-22,99,123251,"{gb,us}"
2039,Éclair de lune,Moonstruck,1987,1987-12-16,101,,{us}
2071,Troubles,Shattered,1991,1991-10-11,98,,{us}
2075,L'Honneur des Prizzi,Prizzi's Honor,1985,1985-06-14,124,,{us}
2087,Guet-apens,The Getaway,1994,1994-02-11,115,,{us}
2108,Breakfast Club,The Breakfast Club,1985,1985-02-15,97,,{us}
2116,Out of Time,Out of Time,2003,2003-10-03,105,,{us}
2119,Jours de Tonnerre,Days of Thunder,1990,1990-06-27,107,,{us}
2124,Color of Night,Color of Night,1994,1994-08-19,122,,{us}
2139,Cleopatra Jones and the Casino of Gold,,1975,1975-07-11,94,452675,"{hk,us}"
2144,Divine mais dangereuse,One Night at McCool's,2001,2001-04-19,93,,{us}
2148,Cotton Club,The Cotton Club,1984,1984-12-14,127,,{us}
2149,Body,Body of Evidence,1993,1993-01-15,99,,"{de,us}"
2153,Driver,The Driver,1978,1978-06-08,89,,"{gb,us}"
2161,Le voyage fantastique,Fantastic Voyage,1966,1966-08-24,100,,{us}
2164,Stargate : la porte des étoiles,Stargate,1994,1994-10-28,121,,"{fr,us}"
2186,Within the Woods,,1978,1978-10-30,32,,{us}
2210,Objectif Terrienne,Earth Girls Are Easy,1988,1988-09-08,100,,"{gb,us}"
2246,Malice,,1993,1993-09-29,106,,{us}
2259,La Maison aux Esprits,The House of the Spirits,1993,1993-10-21,140,,"{dk,de,pt}"
2277,L'Homme Bicentenaire,Bicentennial Man,1999,1999-12-17,126,,"{de,us}"
2280,Big,,1988,1988-06-03,104,,{us}
2291,L'Échelle de Jacob,Jacob's Ladder,1990,1990-11-02,112,,{us}
2320,Ultime décision,Executive Decision,1996,1996-05-01,133,,{us}
2321,Veuve mais pas trop,Married to the Mob,1988,1988-08-19,105,,{us}
2322,Les Experts,Sneakers,1992,1992-09-09,125,,{us}
2323,Jusqu'au bout du rêve,Field of Dreams,1989,1989-04-21,102,,{us}
2436,Double Dragon,,1994,1994-11-04,86,,{us}
2453,Harley Davidson et l'homme aux santiags,Harley Davidson and the Marlboro Man,1991,1991-08-23,95,,{us}
