id,site_id,identifiant
a2cdab05-0f74-4341-a45f-60dff03d2634,1,3556
4cb925b0-1bd0-4e18-9ef5-173a614d3341,1,21236
8da8b7cc-57e6-4fcc-be0b-19b364e0b72b,2,nm0001001
b1812bb2-0bfc-4e59-95d6-8e16cd63b7d1,1,84982
aa92d398-b73c-4958-9359-a6dfc836197e,1,9594
70af724f-bf41-4fec-ba32-2b95d55579dd,1,20882
5ee016a7-3dbe-407d-b572-93a056b1c355,1,57090
4288bb07-e9b5-46b1-9c74-64d4ba0600a8,2,nm0000572
92ce244c-e881-4ad3-9217-74e768021651,1,4774
5c959c7b-6669-430b-8641-d84e59409df3,1,3040029
b8d20f93-0509-47d5-b4ae-268524835e3d,1,2713
e58c6edc-a6ab-48ce-835a-9db230ec5ace,1,62721
7179e20f-fe35-4222-beb7-6c9d9d582bf6,1,51516
85e7a0c6-4d33-4e8d-9669-393055db48d4,5,Q728158
adb60929-26d0-4453-af01-2ab53dfd62cf,5,Q491775
6af9d0ff-5ef4-4144-9f9a-3c5630427d28,2,nm0001557
feba9b5f-3b18-490d-b2a8-6994fd20efef,1,1029004
c4b4ee4a-d3bf-4954-b6d6-f57dc71ee41d,1,24540
d8bfdcc4-e54a-493f-9c22-862e51e08a49,1,741
1fd1c79b-83cd-4598-ac87-2bc9f202dc41,1,11218
0888e319-d363-4077-8fb4-2baa06435c49,1,70068
2854d6bf-c7b7-43ec-990c-a8a8c5fa10a9,5,Q43252
75de56e5-df17-4f03-940c-c32572990c37,5,Q964998
3fb2633e-4857-4d64-8876-763c5adb052c,5,Q440234
39a5150c-c54d-42ee-aa58-fcea02bfe2b1,1,54693
02a87b57-b8e5-4730-aef2-e31ded2de0ac,2,nm0625379
004ff0ee-86ac-41c8-83ec-53f9bf63ad4c,2,nm0728208
1df6da8b-2206-491f-97f1-76c793a42d37,2,nm0000554
