id,serie,n,album,,pages
,7,68,L'hideux Zorfeline,2007,
,7,69,Le secret du géant Flure,2008,
,7,70,Qui veut gagner des filons ?,2010,
,14,1,L'apprenti cow-boy,2011,
,14,2,Lasso périlleux,2013,
,14,3,Statue Squaw,2015,
,14,4,Suivez la flèche,2017,
,14,5,Kid ou double,2019,
,15,1,Au nom de la loi et de Mr Pinkerton,1999,
,15,2,Charivari dans les bayous,2000,
,15,3,Z comme Sorro,2000,
,15,4,La piste de Chisholm,2001,
,15,5,La septième femme de Géronimo,2002,
,15,6,Le coyote noir,2003,
,16,1,Hôtesse de l'air,1971,
,16,2,Natacha et le Maharadjah,1972,
,16,3,La mémoire de métal,1974,
,16,4,Un trône pour Natacha,1975,
,16,5,Double vol,1976,
,16,6,Le treizième apôtre,1978,
,16,7,L'hôtesse et Monna Lisa,1979,
,16,8,Instantanés pour Caltech,1981,
,16,9,Les machines incertaines,1983,
,16,10,L'île d'outre-monde,1984,
,16,11,Le grand pari,1985,
,16,12,Les culottes de fer,1986,
,16,13,Les nomades du ciel,1988,
,16,14,Cauchemirage,1989,
,16,15,La ceinture de Cherchemidi,1992,
,16,16,L'ange blond,1994,
,16,17,La veuve noire,1997,
,16,18,Natacha et les dinosaures,1998,
,16,19,La mer de rochers,2004,
,16,20,Atoll 66,2007,
,16,21,Le regard du passé,2010,
,16,22,L'Épervier bleu,2014,
,16,23,Sur les traces de l'Épervier Bleu,2018,
,17,0,Capturez un marsupilami !,2002,
,17,1,La queue du marsupilami,1987,
,17,2,Le bébé du bout du monde,1988,
,17,3,Mars le noir,1989,
,17,4,Le pollen du Monte Urticando,1989,
,17,5,Baby Prinz,1990,
,17,6,Fordlandia,1991,
,17,7,L'or de Boavista,1992,
,17,8,Le temple de Boavista,1993,
,17,9,Le papillon des cimes,1994,
,17,10,Rififi en Palombie,1996,
,17,11,Houba Banana®,1997,
,17,12,Trafic à Jollywood,1998,
,17,13,Le défilé du jaguar,1999,
,17,14,Un fils en or,2000,
,17,15,C'est quoi ce cirque !?,2001,
,17,16,Tous en piste,2003,
