"edition_id","editeur_id","isbn13","publication_date","num_pages","num_catalogue","langue_code","titre"
417,2204,"9780060786717",2006-01-03,352,,eng,
418,2204,"9780060786731",2007-01-09,384,,eng,
419,82,"9780060786809",2006-01-10,368,,eng,
420,2210,"9780060787035",2005-09-06,368,,eng,
421,2210,"9780060787110",2005-08-30,396,,en-US,
422,897,"9780060787219",2005-05-03,677,,eng,
423,907,"9780060788193",2006-06-27,510,,eng,
424,880,"9780060788384",2007-03-20,456,,eng,
425,340,"9780060789565",2005-05-10,8,,eng,
426,873,"9780060790592",2005-07-05,320,,eng,
427,881,"9780060791216",2005-07-26,0,,eng,
428,873,"9780060792176",2005-08-23,276,,eng,
429,880,"9780060792787",2006-04-11,368,,en-US,
430,645,"9780060792800",2007-03-27,319,,eng,
431,2210,"9780060793197",2005-10-18,192,,en-US,
432,83,"9780060795283",2004-11-30,268,,eng,
433,868,"9780060799908",2005-09-27,320,,eng,
434,606,"9780060815523",2006-09-05,352,,eng,
435,886,"9780060816193",2005-09-06,304,,spa,
436,606,"9780060816223",2006-08-22,464,,eng,
804,1233,"9780071460828",2005-12-13,216,,eng,
437,898,"9780060819224",2007-01-09,1840,,eng,
438,907,"9780060823726",2005-11-29,372,,eng,
439,864,"9780060826581",2006-04-25,512,,eng,
440,873,"9780060830939",1970-11-28,576,,en-US,
441,898,"9780060832810",2006-07-03,336,,eng,
442,907,"9780060833183",2006-03-28,464,,en-US,
443,160,"9780060833251",2007-02-27,354,,en-US,
444,864,"9780060834005",2005-11-29,432,,en-US,
445,608,"9780060834821",2005-09-20,313,,eng,
446,803,"9780060835774",2006-01-24,387,,eng,
447,2204,"9780060837167",2006-03-14,304,,eng,
448,2204,"9780060837334",2005-09-20,368,,eng,
449,161,"9780060837556",2005-09-06,673,,eng,
450,877,"9780060837563",2005-08-02,504,,eng,
451,873,"9780060838584",2005-07-05,399,,eng,
452,873,"9780060838591",2005-07-05,464,,eng,
453,2210,"9780060838638",2005-08-02,451,,eng,
454,873,"9780060838652",2005-08-02,729,,eng,
455,873,"9780060838720",2005-08-02,352,,eng,
456,2210,"9780060838744",2005-08-02,704,,eng,
457,2204,"9780060840884",2006-07-03,295,,eng,
458,645,"9780060841829",2006-01-24,362,,eng,
459,864,"9780060841867",2007-01-30,176,,eng,
460,803,"9780060842314",2006-08-08,160,,eng,
461,864,"9780060843373",2005-11-01,272,,en-US,
462,1038,"9780060844097",2005-10-18,224,,eng,
463,889,"9780060845247",2005-10-04,189,,en-US,
464,873,"9780060845308",2005-07-05,448,,en-US,
465,1664,"9780060845988",2006-04-11,40,,spa,
466,2204,"9780060846732",2006-04-11,336,,en-US,
467,2204,"9780060846879",2006-04-25,400,,eng,
468,905,"9780060847180",2006-12-12,96,,eng,
469,882,"9780060850524",2006-10-17,259,,eng,
470,2204,"9780060851897",2006-05-23,448,,en-US,
471,2204,"9780060851989",2006-05-23,309,,eng,
472,889,"9780060852559",2007-05-01,370,,eng,
473,2205,"9780060853976",2007-08-07,384,,eng,
474,160,"9780060854096",2006-03-28,416,,eng,
