edition_id,editeur_id,isbn13,publication_date,num_pages,num_catalogue,langue_code,titre,infos
29,569,9780002317856,2003-08-04,242,,eng,Sleeping Murder,
30,723,9780006163831,1996-11-18,479,,en-GB,The One Tree (The Second Chronicles of Thomas Covenant #2),
31,724,9780006176954,1990-04-26,698,,eng,The Great And Secret Show,
32,889,9780006178736,1999-08-03,512,,eng,Rage of Angels,
33,891,9780006280897,2002-06-05,170,,en-US,The Four Loves,
34,730,9780006281146,1998-10-05,384,,en-US,Divine Conspiracy: Rediscovering Our Hidden Life in God,
35,882,9780006353287,2001-01-02,560,,eng,Agatha Christie: An Autobiography,
36,889,9780006380832,1998-01-01,608,,eng,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,
37,882,9780006479758,1998-01-01,1273,,eng,Executive Orders (Jack Ryan),
38,2140,9780006482079,2009-07-01,522,,eng,Warhost of Vastmark (Wars of Light & Shadow #3; Arc 2 - The Ships of Merior),
39,880,9780006482642,1997-05-01,594,,eng,Sacrament,
40,891,9780006490456,1995-10-07,352,,eng,Witness for the Prosecution and Selected Plays,
